,Organisation,Investors,Location
17071, CeutiCare , Rocket Ventures," Toledo, Ohio, United States, North America"
17072, PatientPay Inc. , — ," Durham, North Carolina, United States, North America"
17073, Glaukos , — ," San Clemente, California, United States, North America"
17074, Impel NeuroPharma , Alliance of Angels," Seattle, Washington, United States, North America"
17075, RespireRx Phamaceuticals , — ," Glen Rock, New Jersey, United States, North America"
17076, RainTree Oncology Services , — ," San Diego, California, United States, North America"
17077, BrightWhistle ," Eastside Partners, Hamilton Ventures LLC, Paul Iaffaldano"," Atlanta, Georgia, United States, North America"
17078, Toothpick ," Michael Stephanblome, Passion Capital, Paul Edwards, Pradeep Menon, Satish Jayakumar"," London, England, United Kingdom, Europe"
17079, Strides Pharma Science , PROPARCO," Bangalore, Karnataka, India, Asia"
17080, Micro Interventional Devices , Ben Franklin Technology Partners of Northeastern Pennsylvania," Newtown, Pennsylvania, United States, North America"
17081, BoaConsulta ," Kees Koolen, Trindade Investimentos, Valor Capital Group"," São Paulo, Sao Paulo, Brazil, South America"
17082, Cardiva Medical ," Amkey Ventures, Galen Partners, PTV Healthcare Capital, Sycamore Ventures, Triventures"," Sunnyvale, California, United States, North America"
17083, Medical Direct Club , Fulcrum Equity Partners," Nashville, Tennessee, United States, North America"
17084, Lindsey Shell , — ," Fayetteville, Arkansas, United States, North America"
17085, MV Sistemas , Insight Partners," Recife, Bahia, Brazil, South America"
17086, PrescribeWellness , — ," Irvine, California, United States, North America"
17087, Intuity Medical ," Accuitive Medical Ventures, Investor Growth Capital Limited, Venrock, Versant Ventures"," Fremont, California, United States, North America"
17088, Adastra Pharmaceuticals , — ," San Diego, California, United States, North America"
17089, PatientsLikeMe , — ," Boston, Massachusetts, United States, North America"
17090, Top Doctors Labs , — ," Gainesville, Florida, United States, North America"
17091, ArcAqua , Invenfin," Cape Town, NA - South Africa, South Africa, Africa"
17092, AlterG , — ," Fremont, California, United States, North America"
17093, Dejamor , Dreamit Ventures," New York, New York, United States, North America"
17094, ABT Molecular Imaging , — ," Knoxville, Tennessee, United States, North America"
17095, Cyrcadia Health , — ," Reno, Nevada, United States, North America"
17096, Azadi , Impact Engine," Chicago, Illinois, United States, North America"
17097, OvaScience , — ," Boston, Massachusetts, United States, North America"
17098, International Isotopes , — ," Idaho Falls, Idaho, United States, North America"
17099, VitaPath Genetics , — ," Foster City, California, United States, North America"
17100, WelVU , — ," Portland, Oregon, United States, North America"
17101, Gipis , — ," Moscow, Moscow City, Russian Federation, Europe"
17102, Elicio Therapeutics , Access BridgeGap Ventures," Cambridge, Massachusetts, United States, North America"
17103, Lumere ," Bessemer Venture Partners, Blueprint Health, Brainchild Holdings, Carl Byers, Eight Roads Ventures, F-Prime Capital, Silicon Badia, Zimmerman Ventures"," Chicago, Illinois, United States, North America"
17104, Solix Algredients ," Bohemian Venture, I2BF Global Ventures, Southern Ute"," Fort Collins, Colorado, United States, North America"
17105, RedPath Integrated Pathology , — ," Pittsburgh, Pennsylvania, United States, North America"
17106, DNAtriX , — ," Houston, Texas, United States, North America"
17107, Alchemy Pharmatech , The North West Fund," Daresbury, Halton, United Kingdom, Europe"
17108, Ikonisys , — ," New Haven, Connecticut, United States, North America"
17109, Sonexa Therapeutics , — ," San Diego, California, United States, North America"
17110, RyMed Technologies , — ," Franklin, Tennessee, United States, North America"
17111, Summit Care , — ," Jersey City, New Jersey, United States, North America"
17112, eXIthera Pharmaceuticals , Access BridgeGap Ventures," Westborough, Massachusetts, United States, North America"
17113, Nuclea Biotechnologies , — ," Pittsfield, Massachusetts, United States, North America"
17114, angelalign , Warburg Pincus," Shanghai, Shanghai, China, Asia"
17115, AICHONGPETHOSPITAL , Step Venture Capital," Minhang, Shanghai, China, Asia"
17116, Vayyar ," Amiti Ventures, Battery Ventures, Bessemer Venture Partners, MoreVC"," Ness Ziona, HaMerkaz, Israel, Asia"
17117, Evidation Health , Luminary Labs," San Mateo, California, United States, North America"
17118, Goodoc , kocca," Seoul, Seoul-t'ukpyolsi, South Korea, Asia"
17119, HealthUnlocked , — ," London, England, United Kingdom, Europe"
17120, Mobile Health , — ," Palo Alto, California, United States, North America"
17121, Exostat Medical , — ," Prior Lake, Minnesota, United States, North America"
17122, HandMinder , ZeroTo510," Memphis, Tennessee, United States, North America"
17123, Cell2B , ChangePartners," Cantanhede, Coimbra, Portugal, Europe"
17124, Data Driven Delivery System , — ," New York, New York, United States, North America"
17125, Respiratory Motion ," Beta Fund, Cherrystone Angel Group, Maine Angels"," Watertown, Massachusetts, United States, North America"
17126, Counsyl , Felicis Ventures," South San Francisco, California, United States, North America"
17127, Appointuit Pty Ltd , — ," Brisbane, Queensland, Australia, Oceania"
17128, Diagnose.me ," Ivan Stefunko, MONOGRAM Ventures"," Alkmaar, Noord-Holland, The Netherlands, Europe"
17129, PhysioSonics , — ," Seattle, Washington, United States, North America"
17130, Aavya Health , Healthbox," Boston, Massachusetts, United States, North America"
17131, Mersana Therapeutics ," F-Prime Capital, Harris and Harris Group, New Enterprise Associates, Pfizer Venture Investments, ProQuest Investments, Rho Ventures"," Cambridge, Massachusetts, United States, North America"
17132, Therapydia , — ," Mill Valley, California, United States, North America"
17133, Tarpon Biosystems , — ," Worcester, Massachusetts, United States, North America"
17134, Dot Medical , The North West Fund," Macclesfield, Cheshire East, United Kingdom, Europe"
17135, Mango Health ," Baseline Ventures, First Round Capital, Floodgate, Keith Rabois, Mark Pincus"," San Francisco, California, United States, North America"
17136, Innocoll Holdings , — ," Ashburn, Virginia, United States, North America"
17137, Truevision , — ," Santa Barbara, California, United States, North America"
17138, CytomX Therapeutics ," Canaan Partners, Third Rock Ventures"," South San Francisco, California, United States, North America"
17139, Maternova , — ," Providence, Rhode Island, United States, North America"
17140, Netpulse ," August Capital, Frontier Venture Capital, Javelin Venture Partners, Parkview Ventures"," San Francisco, California, United States, North America"
17141, Practo , Sequoia Capital India," Bangalore, Karnataka, India, Asia"
17142, Amicus Therapeutics , GlaxoSmithKline," Cranbury, New Jersey, United States, North America"
17143, TheraBiologics , — ," Arcadia, California, United States, North America"
17144, Enforcer eCoaching , JumpStart," Gates Mills, Ohio, United States, North America"
17145," Ikonopedia, Inc. ", — ," Richardson, Texas, United States, North America"
17146, MacuLogix , — ," Harrisburg, Pennsylvania, United States, North America"
17147, Lucidux , Slater Technology Fund," Providence, Rhode Island, United States, North America"
17148, Clinithink , Development Bank of Wales," London, England, United Kingdom, Europe"
17149, EyeNetra , — ," Cambridge, Massachusetts, United States, North America"
17150, MedaNext , — ," Redmond, Washington, United States, North America"
17151, Proventix Systems , — ," Birmingham, Alabama, United States, North America"
17152, Q Therapeutics , — ," Salt Lake City, Utah, United States, North America"
17153, Smisson-Cartledge Biomedical , — ," Macon, Georgia, United States, North America"
17154, Tolero Pharmaceuticals , — ," Salt Lake City, Utah, United States, North America"
17155, Sterilucent , — ," Minneapolis, Minnesota, United States, North America"
17156, Ativa Medical , — ," Saint Paul, Minnesota, United States, North America"
17157, Physicians Immediate Care ," Anthem, LLR Partners"," Rosamond, Illinois, United States, North America"
17158, Allurion Technologies , — ," Wellesley, Massachusetts, United States, North America"
17159, Tibion Bionic Technologies , — ," Moffett Field, California, United States, North America"
17160, QLife Japan , SMS Japan," Tokyo, Tokyo, Japan, Asia"
17161, Ambio Health , — ," Stamford, Connecticut, United States, North America"
17162, NantWorks , Blackstone Group," Culver City, California, United States, North America"
17163, American BioCare , — ," Troy, Michigan, United States, North America"
17164, Weave ," Friends & Family Debt Financing, Y Combinator"," Lehi, Utah, United States, North America"
17165, PURSUANT HEALTH , ATDC," Atlanta, Georgia, United States, North America"
17166, Foodsmart by Zipongo ," Bee Partners, Founder Collective"," San Francisco, California, United States, North America"
17167, Arteaus Therapeutics ," Atlas Venture, OrbiMed"," Cambridge, Massachusetts, United States, North America"
17168, Analyte Health ," Apex Venture Partners, Mohr Davidow Ventures, Pritzker Group Venture Capital"," Chicago, Illinois, United States, North America"
17169, Adhezion Biomedical , — ," Reading, Pennsylvania, United States, North America"
17170, Unafinance , Omnes Capital," Alfortville, Ile-de-France, France, Europe"
17171, iScreen Vision , Innova Memphis," Cordova, Tennessee, United States, North America"
17172, Ocunexus Therapeutics ," BioPacific Ventures, Domain Associates, GBS Ventures, RMI Partners"," San Diego, California, United States, North America"
17173, Synergy Biomedical , — ," Collegeville, Pennsylvania, United States, North America"
17174, Healtheo360 , — ," Flemington, New Jersey, United States, North America"
17175, Histogenics ," BioMed Ventures, Sofinnova Investments, Split Rock Partners"," Waltham, Massachusetts, United States, North America"
17176, Kuur Therapeutics ," Imperial Innovations, Invesco, Wellcome Trust"," London, England, United Kingdom, Europe"
17177, PTC Therapeutics ," Credit Suisse, Delphi Ventures, HBM Healthcare Investments AG, Novo Holdings"," South Plainfield, New Jersey, United States, North America"
17178, Avancen MOD , — ," Mount Pleasant, South Carolina, United States, North America"
17179, Cerapedics , — ," Westminster, Colorado, United States, North America"
17180, Bavia Health , — ," Minneapolis, Minnesota, United States, North America"
17181, Pearltec AG ," Aargauische Kantonalbank, Berner Partners, Pascal Stuerchler, Tugboat, Zürcher Kantonal Bank"," Schlieren, Zurich, Switzerland, Europe"
17182, NICO , — ," Indianapolis, Indiana, United States, North America"
17183, Miromatrix Medical , Brightstone Venture Capital," Eden Prairie, Minnesota, United States, North America"
17184, Grassroot Nutrition , Brand Capital," Mumbai, Maharashtra, India, Asia"
17185, Seymour Innovative , — ," Tempe, Arizona, United States, North America"
17186, Parabase Genomics , — ," Hardwick, Massachusetts, United States, North America"
17187, Statpay , Blueprint Health," Chicago, Illinois, United States, North America"
17188, Laborie Medical Technologies , Audax Private Equity," Mississauga, Ontario, Canada, North America"
17189, d2i , Blueprint Health," Parsippany, New Jersey, United States, North America"
17190, Health Recovery Solutions , Blueprint Health," Hoboken, New Jersey, United States, North America"
17191, Agile Therapeutics ," Aisling Capital, Care Capital, Investor Growth Capital Limited, Kaiser Permanente Ventures, Novitas Capital, ProQuest Investments"," Princeton, New Jersey, United States, North America"
17192, GeriJoy , Blueprint Health," Cambridge, Massachusetts, United States, North America"
17193, AllazoHealth , Blueprint Health," New York, New York, United States, North America"
17194, VivoSensMedical GmbH , TGFS - Technologiegründerfonds Sachsen," Leipzig, Sachsen, Germany, Europe"
17195, IFaB , Aureos Capital," Mexico City, Distrito Federal, Mexico, North America"
17196, emoquo ," Hambro Perks Ltd., Newable Private Investing"," London, England, United Kingdom, Europe"
17197, Alimera Sciences ," New Enterprise Associates, Palo Alto Investors, Sofinnova Investments"," Alpharetta, Georgia, United States, North America"
17198, Juvent Regenerative Technologies Corporation , — ," Ooltewah, Tennessee, United States, North America"
17199, Transposagen Biopharmaceuticals , — ," Lexington, Kentucky, United States, North America"
17200, Apellis Pharmaceuticals , Kentucky Science and Technology Corporation (KSTC)," Waltham, Massachusetts, United States, North America"
17201," The Usability People, LLC ", — ," Fairfax, Virginia, United States, North America"
17202, InMedica klinika , BaltCap," Vilnius, Vilniaus Apskritis, Lithuania, Europe"
17203, S2 Interactive , Innova Memphis," Germantown, Tennessee, United States, North America"
17204, MediConecta , Start-Up Chile," Caracas, NA - Venezuela, Venezuela, South America"
17205, Obalon Therapeutics ," Domain Associates, InterWest Partners, Okapi Venture Capital"," Carlsbad, California, United States, North America"
17206, One Touch EMR , — ," Dallas, Texas, United States, North America"
17207, Neuros Medical ," Boston Scientific, ECOTAF, Glengary Ventures, JumpStart, North Coast Ventures, Queen City Angels"," Willoughby, Ohio, United States, North America"
17208, Global Photon , — ," Austin, Texas, United States, North America"
17209, Nutek Orthopaedics , — ," Kenansville, Florida, United States, North America"
17210, Carmot Therapeutics , The Column Group," San Francisco, California, United States, North America"
17211, WellFX , — ," Petaluma, California, United States, North America"
17212, Reflux Medical , FLOOR13," Vienna, Wien, Austria, Europe"
17213, Accelerate Diagnostics , — ," Tucson, Arizona, United States, North America"
17214, PanGenX , — ," Auburndale, Massachusetts, United States, North America"
17215, i2Dx , Biomark Capital," Menlo Park, California, United States, North America"
17216, HealthFusion , — ," Solana Beach, California, United States, North America"
17217, Domain Therapeutics ," Airfi aero, Auriga Partners, Seventure Partners, SODIV ALSACE"," Illkirch, Alsace, France, Europe"
17218, BioBehavioral Diagnostics , — ," Westford, Massachusetts, United States, North America"
17219, Adviseme Cosmetics , Start-Up Chile," Montevideo, NA - Uruguay, Uruguay, South America"
17220, PURE Bioscience , — ," El Cajon, California, United States, North America"
17221, Juventas Therapeutics ," Early Stage Partners, Fletcher Spaght, Inc., New Science Ventures, North Coast Ventures, Reservoir Venture Partners, Takeda Ventures, Triathlon Medical Venture Partners, Venture Investors"," Cleveland, Ohio, United States, North America"
17222, ICDD , Paca Investissement," Gémenos, Provence-Alpes-Cote d'Azur, France, Europe"
17223, TesoRx Pharma , — ," Menlo Park, California, United States, North America"
17224, Rothman Healthcare , — ," Sarasota, Florida, United States, North America"
17225, ClearPoint Neuro , — ," Irvine, California, United States, North America"
17226, Saluspot , Iñaki Arrola," Madrid, Madrid, Spain, Europe"
17227, CrowdMed , Jared Heyman," San Francisco, California, United States, North America"
17228, Bia , — ," Manhattan Beach, California, United States, North America"
17229, Aeon Scientific , Zürcher Kantonal Bank," Zürich, Zurich, Switzerland, Europe"
17230, Sprout Pharmaceuticals , — ," Raleigh, North Carolina, United States, North America"
17231, NexGen Medical Systems , — ," Melbourne Beach, Florida, United States, North America"
17232, Lincoln Peak Partners , — ," Newton, Massachusetts, United States, North America"
17233, IntegraGen , — ," Évry, Ile-de-France, France, Europe"
17234, Palatin Technologies , — ," Cranbury, New Jersey, United States, North America"
17235, MitraSpan , — ," Woburn, Massachusetts, United States, North America"
17236, CarePoint Solutions , — ," Clinton, Massachusetts, United States, North America"
17237, Axial Exchange , — ," Raleigh, North Carolina, United States, North America"
17238, proVITAL , Plug and Play," Redwood City, California, United States, North America"
17239, PixelOptics , — ," Roanoke, Virginia, United States, North America"
17240, Appature , — ," Seattle, Washington, United States, North America"
17241, Taikang Bybo Dental , CCB International," Beijing, Beijing, China, Asia"
17242, MedXCom , — ," Bedminster, New Jersey, United States, North America"
17243, MedXCom , — ," Bedminster, New Jersey, United States, North America"
17244, Sinopsys Surgical , — ," Boulder, Colorado, United States, North America"
17245, PokitDok ," Albert Prast, CRV, Jeff Entress, Jonathan Sposato, Oakhouse Partners, Zach Zeitlin"," San Mateo, California, United States, North America"
17246, Talkspace ," Compound, SoftBank Capital, Spark Capital, TheTime"," New York, New York, United States, North America"
17247, Viveve Medical , — ," Franklin, Massachusetts, United States, North America"
17248, Epivios , High-Tech Grunderfonds," Düsseldorf, Nordrhein-Westfalen, Germany, Europe"
17249, ProMed , — ," Los Gatos, California, United States, North America"
17250, AdCare Health Systems , — ," Roswell, Georgia, United States, North America"
17251, MYOS , — ," Cedar Knolls, New Jersey, United States, North America"
17252, Confluence Life Sciences , — ," St Louis, Missouri, United States, North America"
17253, LensAR , Oxford Finance LLC," Orlando, Florida, United States, North America"
17254, Neuravi ," Delta Partners, Fountain Healthcare Partners"," Galway, Galway, Ireland, Europe"
17255, RedKLEVER , IT Co," Moskva, Tyumen', Russian Federation, Europe"
17256, Valcare Medical , Accelmed," Herzliya, Tel Aviv, Israel, Asia"
17257, First Wave Technologies , — ," Batavia, New York, United States, North America"
17258, Treasure Valley Surgery Center , — ," Nampa, Idaho, United States, North America"
17259, Avinger , — ," Redwood City, California, United States, North America"
17260, Claret Medical , — ," Santa Rosa, California, United States, North America"
17261, EXOS ," ABS Capital Partners, Polaris Partners"," Phoenix, Arizona, United States, North America"
17262, SafePath Medical , — ," Amesbury, Massachusetts, United States, North America"
17263, The Rowing Team , — ," Richmond, Virginia, United States, North America"
17264, Cardiosolutions , Sorin Group," West Bridgewater, Massachusetts, United States, North America"
17265, MMRGlobal , — ," Los Angeles, California, United States, North America"
17266, Psioxus Therapeutics ," Imperial Innovations, Invesco, Lundbeckfonden Ventures, SR One"," Abingdon, Oxfordshire, United Kingdom, Europe"
17267, Innovative Supply Solutions , BioAdvance," Southampton, Pennsylvania, United States, North America"
17268, CartiHeal ," Accelmed, Access Medical Ventures, Elron Electronic Industries"," Kfar Saba, HaMerkaz, Israel, Asia"
17269, Quvium , — ," Kent, Kent, United Kingdom, Europe"
17270, Genkyotex ," Andera Partners, Eclosion SA, MP Healthcare Venture Management, Vesalius Biocapital Partners"," Geneva, Geneve, Switzerland, Europe"
17271, Capsule Tech , JMI Equity," Paris, Ile-de-France, France, Europe"
17272, CareWell Urgent Care ," CHL Medical Partners, Correlation Ventures"," Tewksbury, Massachusetts, United States, North America"
17273, Organics Rx , Tech Coast Angels," Santa Monica, California, United States, North America"
17274, Intio , — ," Broomfield, Colorado, United States, North America"
17275, Remedy Pharmaceuticals , — ," New York, New York, United States, North America"
17276, OraMetrix , — ," Richardson, Texas, United States, North America"
17277, Symcat , — ," Baltimore, Maryland, United States, North America"
17278, Rex Bionics , Sante Ventures," Auckland, Auckland, New Zealand, Oceania"
17279, BLA Technology , — ," Atlanta, Georgia, United States, North America"
17280, Salucro Healthcare Solutions , — ," Phoenix, Arizona, United States, North America"
17281, MindMaze , Foundation for Technological Innovation (FIT)," Lausanne, Vaud, Switzerland, Europe"
17282, MapMyFitness , Square 1 Bank," Denver, Colorado, United States, North America"
17283, Beacon Endoscopic , — ," Newton, Massachusetts, United States, North America"
17284, International Oncology Services , Rajasthan Venture Capital Fund," Noida, Uttar Pradesh, India, Asia"
17285, Loop Medical , Venture Kick," Lausanne, Vaud, Switzerland, Europe"
17286, Blu Sky , — ," Bellingham, Washington, United States, North America"
17287, Phase Focus , Ombu Group," Sheffield, Sheffield, United Kingdom, Europe"
17288, Thar Pharmaceuticals , — ," Pittsburgh, Pennsylvania, United States, North America"
17289, BionX™ Medical Technologies , — ," Bedford, Massachusetts, United States, North America"
17290, Pressure BioSciences , — ," South Easton, Massachusetts, United States, North America"
17291, Callidus Biopharma , — ," Doylestown, Pennsylvania, United States, North America"
17292, VBI Vaccines , — ," Cambridge, Massachusetts, United States, North America"
17293, PDP Holdings , — ," Nashville, Tennessee, United States, North America"
17294, ClearPoint Learning Systems , — ," Hoboken, New Jersey, United States, North America"
17295, Providence Therapy , — ," Trussville, Alabama, United States, North America"
17296, MedCenterDisplay , — ," Brentwood, Tennessee, United States, North America"
17297, Interleukin Genetics , Delta Dental," Waltham, Massachusetts, United States, North America"
17298, Aevi Genomic Medicine , — ," Wayne, Pennsylvania, United States, North America"
17299, Cornerstone Therapeutics , Chiesi Pharmaceuticals," Cary, North Carolina, United States, North America"
17300, DrDoctor , Bethnal Green Ventures," London, England, United Kingdom, Europe"
17301, PositiveID , Wayra," Delray Beach, Florida, United States, North America"
17302, Healbe , Starta Ventures," Redwood City, California, United States, North America"
17303, Core Diagnostics , Artiman Ventures," Gurgaon, Haryana, India, Asia"
17304, EffiNov Laboratory , GO CAPITAL," Lorient, Bretagne, France, Europe"
17305, Happier , — ," Boston, Massachusetts, United States, North America"
17306, Pryv , simple data sarl," Lausanne, Vaud, Switzerland, Europe"
17307, PCA Audit , Wayra," Chacao, NA - Venezuela, Venezuela, South America"
17308, Xip , — ," Pleasanton, California, United States, North America"
17309, CardioDx ," Acadia Woods Partners, Artiman Ventures, Asset Management Ventures (AMV), Bright Capital, Duff, Ackerman and Goodrich, GE Capital, Intel Capital, J.P. Morgan Securities Inc., Kleiner Perkins, Longitude Capital, Mohr Davidow Ventures, Pappas Ventures, Temasek Holdings, TPG Growth"," Redwood City, California, United States, North America"
17310, Estech , Tullis Health Investors," San Ramon, California, United States, North America"
17311, GenSight Biologics , AGORANOV," Paris, Ile-de-France, France, Europe"
17312, Beijing Centre Biology , Qiming Venture Partners," Changping, Beijing, China, Asia"
17313, BodyBoss , — ," Cincinnati, Ohio, United States, North America"
17314, getbetter! , — ," San Francisco, California, United States, North America"
17315, Ischemia Care , — ," Oxford, Ohio, United States, North America"
17316, Syndero , Trident Capital," Los Angeles, California, United States, North America"
17317, Relypsa ," 5AM Ventures, Delphi Ventures, Mediphase Venture Partners, New Leaf Venture Partners, OrbiMed, Sibling Capital, Sprout Group"," Redwood City, California, United States, North America"
17318, CareinSync , Band of Angels," Santa Clara, California, United States, North America"
17319, OncoHealth ," Band of Angels, InnoSpring Seed Fund, TSVC"," San Jose, California, United States, North America"
17320, Vitalbox , — ," São Paulo, Sao Paulo, Brazil, South America"
17321, Total Prosthetics & Orthotics , VenturEast," Noida, Uttar Pradesh, India, Asia"
17322, PlayFitness , — ," Staten Island, New York, United States, North America"
17323, CellScape ," RA Capital Management, XSeed Capital"," Newark, California, United States, North America"
17324, TytoCare , Teuza," New York, New York, United States, North America"
17325, Voxel.pl , RTAventures VC," Kraków, Malopolskie, Poland, Europe"
17326, VisionQuest Biomedical , — ," Albuquerque, New Mexico, United States, North America"
17327, SFJ Pharmaceuticals , Clarus Ventures," Pleasanton, California, United States, North America"
17328, Lua ," Aaron Stone, Aryeh Bourkoff, Baris Yuksel, Barry Silbert, BoxGroup, Carla Geisser, David Tisch, George Kliavkoff, IA Ventures, Jason Ostheimer, Jason Seats, John Maloney, Jon Koen, Jonathan Peachey, Matthew Hiltzik, Michael Fleisher, Nat Turner, Rebecca Roven, Rufus Griscom, Sam Teller, Social Starts, Strauss Zelnick, Thomas Glocer, William Lohse, Zach Weinberg"," New York, New York, United States, North America"
17329, Health in Reach , Tech Coast Angels," Los Angeles, California, United States, North America"
17330, UrgentRx , — ," Denver, Colorado, United States, North America"
17331," ClinicalBox, Inc. ", — ," Cambridge, Massachusetts, United States, North America"
17332, Marinomed , Arax Capital Partners," Vienna, Wien, Austria, Europe"
17333, Biocrates Life Sciences , Arax Capital Partners," Innsbruck, Tirol, Austria, Europe"
17334, Biodel , — ," Danbury, Connecticut, United States, North America"
17335, UV Angel , — ," Grand Haven, Michigan, United States, North America"
17336, Therapydia , Nimble Ventures," Mill Valley, California, United States, North America"
17337, IlluminOss Medical , — ," East Providence, Rhode Island, United States, North America"
17338, Shadow Health , — ," Gainesville, Florida, United States, North America"
17339, Corinthian Ophthalmic , — ," Boone, North Carolina, United States, North America"
17340, Vaxart , — ," San Francisco, California, United States, North America"
17341, PanGenX , — ," Auburndale, Massachusetts, United States, North America"
17342, Pact Fitness ," Alex Rigopulos, Bob Mason, InnoSpring Seed Fund, Michael Dornbrook, Michael Hirshland, Resolute Ventures, Start-Up Chile, TSVC"," San Francisco, California, United States, North America"
17343, Practice Fusion ," Ali Partovi, Artis Ventures (AV), Auren Hoffman, Band of Angels, Farzad (Zod) Nazem, Felicis Ventures, Founders Fund, Ghost Angel, Glynn Capital Management, Hadi Partovi, Morgenthaler Ventures, Scott Banister, SV Angel"," San Francisco, California, United States, North America"
17344, Valant , Alliance of Angels," Seattle, Washington, United States, North America"
17345, Gemmus Pharma ," BlueTree Allied Angels, Life Science Angels, Tech Coast Angels, The Angels' Forum, Wilmington Investor Network"," San Francisco, California, United States, North America"
17346, CapsoVision , — ," Saratoga, California, United States, North America"
17347, Sonendo ," Fjord Ventures, Neomed Management, OrbiMed"," Laguna Hills, California, United States, North America"
17348, CloSys , — ," Minneapolis, Minnesota, United States, North America"
17349," Halscion, Inc. "," Accuitive Medical Ventures, SV Health Investors, Versant Ventures"," Duluth, Georgia, United States, North America"
17350, LigoCyte Pharmaceuticals , — ," Bozeman, Montana, United States, North America"
17351, HealthLoop , Kapor Capital," Mountain View, California, United States, North America"
17352, Vital Therapies , — ," San Diego, California, United States, North America"
17353, Pyng Medical , — ," Richmond Hill, Ontario, Canada, North America"
17354, Benvenue Medical ," DeNovo Ventures, Domain Associates, Technology Partners, Versant Ventures"," Santa Clara, California, United States, North America"
17355, Carena , Catholic Health Initiatives," Seattle, Washington, United States, North America"
17356, Fiteeza , — ," Vienna, Virginia, United States, North America"
17357, REBIScan , Carnegie Mellon University," Boston, Massachusetts, United States, North America"
17358, Aptus Endosystems ," Longitude Capital, Synergy Life Science Partner, U.S. Venture Partners (USVP)"," Sunnyvale, California, United States, North America"
17359, Episencial , CircleUp," Los Angeles, California, United States, North America"
17360, Halfort Medical Solutions ," McCarthy Capital, Tenex Capital Management"," Woodbridge, Virginia, United States, North America"
17361, PatientSafe Solutions , — ," San Diego, California, United States, North America"
17362, TRIARQ Health , — ," Troy, Michigan, United States, North America"
17363, SurgaColl ," AIB Seed Capital Fund, Enterprise Equity, Enterprise Ireland"," Dublin, Dublin, Ireland, Europe"
17364, Cayenne Medical ," NXT Capital, Silicon Valley Bank"," Scottsdale, Arizona, United States, North America"
17365, Cohera Medical , — ," Pittsburgh, Pennsylvania, United States, North America"
17366, Arstasis , Canaan Partners," Redwood City, California, United States, North America"
17367, NovaTract Surgical ," Advantage Capital, Connecticut Innovations, Enhanced Capital Partners, Golden Seeds, LaunchCapital, Vital Venture Capital"," New Haven, Connecticut, United States, North America"
17368, Propeller Health , — ," Madison, Wisconsin, United States, North America"
17369, Tangent Medical Technologies ," Arboretum Ventures, Flagship Pioneering, OUP (Osage University Partners)"," Ann Arbor, Michigan, United States, North America"
17370, Vigilant Medical , — ," Baltimore, Maryland, United States, North America"
17371, Neomatrix , — ," Irvine, California, United States, North America"
17372, Neomatrix , — ," Irvine, California, United States, North America"
17373, Shady Grove Fertility , — ," Rockville, Maryland, United States, North America"
17374, PolicyStat , — ," Carmel, Indiana, United States, North America"
17375, PatientKeeper ," Flybridge, J.H. Whitney & Co, New Enterprise Associates"," Waltham, Massachusetts, United States, North America"
17376, Biomimedica ," Asset Management Ventures (AMV), Biedermann Motech, Emergent Medical Partners, Troika Dialog"," South San Francisco, California, United States, North America"
17377, GreatCall , NXT Capital," San Diego, California, United States, North America"
17378, Nanoflex , The North West Fund," Daresbury, Halton, United Kingdom, Europe"
17379, IV Diagnostics , — ," Crown Point, Indiana, United States, North America"
17380, thromboDx BV , — ," Amsterdam, Noord-Holland, The Netherlands, Europe"
17381, Phrixus Pharmaceuticals , — ," Ann Arbor, Michigan, United States, North America"
17382, Therapydia , — ," Mill Valley, California, United States, North America"
17383, eMerge Health Solutions , CincyTech," Cincinnati, Ohio, United States, North America"
17384, Santaris Pharma ," Forbion Capital Partners, Gilde Healthcare, Global Life Science Ventures, Novo Holdings, Seventure Partners, Sunstone Life Science Ventures"," Hørsholm, Hovedstaden, Denmark, Europe"
17385, EndoGastric Solutions ," Advanced Technology Ventures, Canaan Partners, Chicago Growth Partners, DeNovo Ventures, Foundation Medical Partners, Oakwood Medical Investors, Radius Ventures"," San Mateo, California, United States, North America"
17386, Springfield Healthcare , Business Growth Fund," Garforth, Leeds, United Kingdom, Europe"
17387, Verus Healthcare , Rich Roberts," Franklin, Tennessee, United States, North America"
17388, Access Scientific , — ," San Diego, California, United States, North America"
17389, Shape Medical Systems , — ," Saint Paul, Minnesota, United States, North America"
17390, Zilico ," Fusion IP, Spark Ventures, The North West Fund"," Sheffield, Sheffield, United Kingdom, Europe"
17391, Svelte Medical Systems , — ," New Providence, New Jersey, United States, North America"
17392, Domain Surgical , — ," Salt Lake City, Utah, United States, North America"
17393, MDCapsule , — ," Cambridge, Massachusetts, United States, North America"
17394, Flex Biomedical ," NEW Capital Fund, Silicon Pastures, Wisconsin Investment Partners"," Madison, Wisconsin, United States, North America"
17395, Vital Development Corp. , CapMan," Saint Petersburg, Saint Petersburg City, Russian Federation, Europe"
17396, Grove Instruments , — ," Worcester, Massachusetts, United States, North America"
17397, Semler Scientific , Green Park & Golf Ventures," Portland, Oregon, United States, North America"
17398, Sheer Drive , — ," Mamaroneck, New York, United States, North America"
17399, Revalesio , — ," Tacoma, Washington, United States, North America"
17400, BONESUPPORT ," HealthCap, Industrifonden, Lundbeckfonden Ventures"," Lund, Skane Lan, Sweden, Europe"
17401, Valence Health , North Bridge Venture Partners & Growth Equity," Chicago, Illinois, United States, North America"
