,Round
11118, Series B - Evariant 
11119, Venture Round - Evolution Nutrition 
11120, Pre Seed Round - Revolution Fitness 
11121, Series A - SEEHIGHER 
11122, Series A - microcardio 
11123, Angel Round - Hint Health 
11124, Seed Round - USA Rx 
11125, Seed Round - Sensassure 
11126, Private Equity Round - Roivant Sciences 
11127, Pre Seed Round - Learning To Sleep 
11128," Seed Round - Octovis, Inc. "
11129, Seed Round - Halo Neuroscience 
11130, Grant - BeckerSmith Medical 
11131, Venture Round - Clarity Pharmaceuticals 
11132, Seed Round - TalkLife 
11133, Seed Round - Inverse 
11134, Grant - AventaMed 
11135, Grant - ReThink Medical 
11136, Venture Round - Broncus Technologies 
11137, Venture Round - DAMAE Medical 
11138, Grant - LensGen 
11139, Grant - Calcivis 
11140, Angel Round - Teyang Network 
11141, Series B - ENTEROME 
11142, Convertible Note - GymRealm 
11143, Seed Round - Manodaktaras.lt 
11144, Seed Round - Smart Medical Services 
11145, Seed Round - CareDash 
11146, Private Equity Round - Linimed 
11147, Grant - Brainstem Biometrics 
11148, Seed Round - Treatment Scores 
11149, Seed Round - KitNipBox 
11150, Venture Round - Eyebright 
11151, Seed Round - fitogram 
11152, Grant - CystoSure 
11153, Grant - ChemoFilter 
11154, Seed Round - PELV-ICE 
11155, Venture Round - Feeligreen 
11156, Non Equity Assistance - Zerigo Health 
11157, Seed Round - Rallyon 
11158, Equity Crowdfunding - EcoHydra Technologies Ltd 
11159, Seed Round - Zdorovio 
11160, Funding Round - seniorshelf.com 
11161, Venture Round - Pager 
11162, Venture Round - OvuSense (Fertility Focus) 
11163, Venture Round - Xercise4less 
11164, Pre Seed Round - EA Fruits Farm 
11165, Series D - Otonomy 
11166, Series A - Companion Medical 
11167, Venture Round - ConvenientMD 
11168, Venture Round - Isomark 
11169, Pre Seed Round - ProteoSense 
11170, Seed Round - Bia 
11171, Venture Round - TruVitals 
11172, Venture Round - Etubics 
11173, Venture Round - Monteris Medical 
11174, Debt Financing - CellPhire 
11175, Funding Round - Instabeat 
11176, Seed Round - NeuroNation 
11177, Debt Financing - Audicus 
11178, Equity Crowdfunding - Heavenly Foods 
11179, Angel Round - fh21.com.cn 
11180, Series C - Doximity 
11181," Angel Round - Beijing Guolizhuang Co., Ltd. "
11182, Equity Crowdfunding - Sixth Wave Innovations 
11183, Debt Financing - AxioMed Spine 
11184, Seed Round - Mentegram 
11185, Series B - Integrated Diagnostics 
11186, Series B - BrightWhistle 
11187, Seed Round - Gordian Surgical 
11188, Venture Round - Endotronix 
11189, Series B - CytomX Therapeutics 
11190, Debt Financing - Integrated Diagnostics 
11191, Venture Round - Mucosis 
11192, Seed Round - Truminim 
11193, Seed Round - Skulpt 
11194, Venture Round - Physicians Surgery Center 
11195, Series A - Tiger DRS 
11196, Series A - Big Health 
11197, Series D - Voluntis 
11198, Venture Round - Orca Pharmaceuticals 
11199, Venture Round - Sonitus Medical 
11200, Seed Round - Jeeri Neotech International 
11201, Seed Round - The Medical Memory 
11202, Venture Round - Kite Pharma 
11203, Series B - Binx Health 
11204, Private Equity Round - Alignment Healthcare 
11205, Seed Round - Windgap Medical 
11206, Venture Round - Elysia 
11207, Series A - Algal Scientific 
11208, Venture Round - SI-BONE 
11209, Venture Round - RedBrick Health 
11210, Seed Round - MedAware Systems 
11211, Seed Round - KochAbo 
11212, Series C - Sequana Medical 
11213, Venture Round - Smart Medical Systems 
11214, Seed Round - Guides.co 
11215, Post-IPO Equity - Phio Pharmaceuticals 
11216, Venture Round - Stone Medical Corporation 
11217, Venture Round - Monroe Hospital 
11218, Series A - Juno Therapeutics 
11219, Debt Financing - Cognoptix 
11220, Venture Round - Baxano 
11221, Venture Round - CalciMedica 
11222, Post-IPO Debt - Alimera Sciences 
11223, Seed Round - Lithotripsy of Northern Indiana 
11224, Series A - Miret Surgical 
11225, Venture Round - Sotera Wireless 
11226, Series C - Aerpio Pharmaceuticals 
11227, Seed Round - WeCook 
11228, Series A - Recon Instruments 
11229, Seed Round - FraSen 
11230, Convertible Note - Bivarus 
11231, Seed Round - BioDigital 
11232, Seed Round - The Rounds 
11233, Venture Round - Jeeri Neotech International 
11234, Series B - Guardant Health 
11235, Private Equity Round - Handi-Pharm Groupe 
11236, Seed Round - Owlet Baby Care 
11237, Grant - GTX medical 
11238, Private Equity Round - Hallam Medical Ltd 
11239, Post-IPO Equity - Catalyst Biosciences 
11240, Seed Round - Healthvest Craig Ranch 
11241, Series B - AveXis 
11242, Series A - Cyrcadia Health 
11243, Venture Round - Propagenix 
11244, Venture Round - VisitPay 
11245, Seed Round - CathVision 
11246, Venture Round - Welby 
11247, Series A - Synthorx 
11248, Venture Round - Kanchufang 
11249, Debt Financing - Magnetecs 
11250, Series D - Sierra Oncology 
11251, Series A - SwipeSense 
11252, Seed Round - Penzata 
11253, Convertible Note - ENU Nutrition 
11254, Funding Round - CLUDOC - A Healthcare Network 
11255, Venture Round - Cynapsus Therapeutics 
11256, Venture Round - NeurOptics 
11257, Venture Round - RF Surgical Systems 
11258, Equity Crowdfunding - Healbe 
11259, Series C - Arrail Dental Clinic 
11260, Debt Financing - Senseonics 
11261, Venture Round - Wellcentive 
11262, Seed Round - Nu-Med Plus 
11263, Venture Round - Profectus Biosciences 
11264, Seed Round - Mirage Endoscopy Center 
11265, Angel Round - AuraLife 
11266, Funding Round - AllazoHealth 
11267, Grant - Xhale 
11268, Venture Round - Xcovery 
11269, Venture Round - Intelligent InSites 
11270, Private Equity Round - One Medical 
11271, Debt Financing - Protea Biosciences 
11272," Seed Round - BioSig Technologies, Inc. "
11273, Venture Round - Sophono 
11274, Seed Round - Yooji 
11275, Seed Round - Wannyi 
11276, Series B - Nora Therapeutics 
11277, Series A - Primex Pharmaceuticals 
11278, Venture Round - Healthbox 
11279, Seed Round - Evidence Prime 
11280, Series A - Cardiac Dimensions 
11281, Venture Round - K-Plan 
11282, Series B - Provista Diagnostics 
11283, Series C - ForSight Labs 
11284, Equity Crowdfunding - SprainGo 
11285, Equity Crowdfunding - Motivating Wellness 
11286, Series A - Advera Health Analytics 
11287, Series H - OrSense 
11288, Venture Round - HeiaHeia.com 
11289, Series A - Heart Metabolics 
11290, Series B - Nexvet 
11291, Seed Round - Insilico Medicine 
11292, Angel Round - Sensulin 
11293, Seed Round - Pathway Pharmaceuticals 
11294, Series A - eCaring 
11295, Debt Financing - Axial Exchange 
11296, Series D - OrganOx 
11297, Venture Round - OxThera 
11298, Seed Round - better. 
11299, Series C - ForSight VISION5 
11300, Venture Round - EO2 Concepts 
11301, Series B - Wilson Therapeutics 
11302, Venture Round - Convergent Dental 
11303, Pre Seed Round - Glic 
11304, Seed Round - Polku 
11305, Venture Round - Cytimmune Sciences 
11306, Debt Financing - Grand Round Table 
11307, Pre Seed Round - NeuroHydrate 
11308, Seed Round - Maternity Neighborhood 
11309, Series A - Citra Health Solutions 
11310, Debt Financing - Healthsense 
11311, Debt Financing - Cerapedics 
11312, Venture Round - Eventus Diagnostics 
11313, Private Equity Round - Humeca 
11314, Debt Financing - EndoGastric Solutions 
11315, Seed Round - Imaging3 
11316, Debt Financing - Edlogics 
11317, Venture Round - Super Vitamin D 
11318, Series D - Adaptive Biotechnologies 
11319, Series A - Fitnet 
11320, Series A - AAVLife 
11321, Venture Round - Kalila Medical 
11322, Series A - YAOKING.CN 
11323, Angel Round - Qiji Yiyao 
11324, Series B - Adastra Pharmaceuticals 
11325, Venture Round - Ortho Kinematics 
11326, Grant - Circulomics 
11327, Series A - Lifesum 
11328, Grant - Domain Therapeutics 
11329, Seed Round - PhysioCue 
11330, Seed Round - Heartbit 
11331, Series B - Earlens Corporation 
11332, Seed Round - Neoantigenics 
11333, Debt Financing - Mister Bucks Pet Food Company 
11334, Venture Round - Aligned TeleHealth 
11335, Venture Round - Kanungo Institute of Diabetes Specialities (KIDS) 
11336, Venture Round - Hans Anders 
11337, Seed Round - Eat to beat 
11338, Seed Round - DoseMe 
11339, Product Crowdfunding - Giraffe Friend 
11340, Debt Financing - Kanungo Institute of Diabetes Specialities (KIDS) 
11341, Seed Round - DrChrono 
11342, Angel Round - Youlian Xinxi 
11343, Seed Round - CamPlex 
11344, Private Equity Round - SAS Menix 
11345, Series C - Spinifex Pharmaceuticals 
11346, Angel Round - Uniphy Health 
11347, Debt Financing - Xanitos 
11348, Grant - Darma Inc. 
11349, Seed Round - Agada 
11350, Angel Round - Medicwell 
11351, Venture Round - AltheaDx 
11352, Debt Financing - Xcovery 
11353, Venture Round - eTect 
11354, Venture Round - Seventh Sense Biosystems 
11355, Seed Round - Zesty 
11356, Debt Financing - DrChrono 
11357, Funding Round - Oricula Therapeutics 
11358, Venture Round - Q Spine Ltd. 
11359, Grant - Lunaphore 
11360, Debt Financing - OMNIlife science 
11361, Equity Crowdfunding - ABS Medical 
11362, Series B - Omada Health 
11363, Venture Round - Ploom 
11364, Venture Round - PromoFarma.com 
11365, Series B - ProteoMediX 
11366, Venture Round - AT-Biotech 
11367, Series A - yocomobien.es 
11368, Venture Round - Gracewell Healthcare 
11369, Post-IPO Equity - Venaxis 
11370, Seed Round - VirtualU 
11371, Seed Round - Creavo Medical Technologies 
11372, Series A - Apex Medical 
11373, Venture Round - Providence Surgery Centers 
11374, Series B - InfoBionic 
11375, Venture Round - AdvanDx 
11376, Venture Round - AquaFiber Technologies 
11377, Debt Financing - Zurich Medical 
11378, Seed Round - PRX Control Solutions 
11379, Series C - Daktari Diagnostics 
11380, Venture Round - MetaModix 
11381, Seed Round - Amino 
11382, Seed Round - Medical Port 
11383, Seed Round - Gritness 
11384, Venture Round - Arterys 
11385, Venture Round - Polaris Health Directions 
11386, Seed Round - RioGin 
11387, Series A - SHYFT 
11388, Series C - JenaValve Technology 
11389, Series C - Albert Medical Devices 
11390, Seed Round - HealthScripts of America 
11391, Debt Financing - Parental Health 
11392, Venture Round - PluroGen Therapeutics 
11393, Series A - Mersana Therapeutics 
11394, Series D - Sequent Medical 
11395, Series A - ENU Nutrition 
11396, Private Equity Round - ABILITY Network 
11397, Venture Round - Arbovax 
11398, Venture Round - CardiOx 
11399, Debt Financing - kaleo 
11400, Debt Financing - AllergEase 
11401, Debt Financing - ABT Molecular Imaging 
11402, Debt Financing - OpGen 
11403, Post-IPO Equity - Abattis Bioceuticals 
11404, Venture Round - TripleCare 
11405, Seed Round - Cerora 
11406, Debt Financing - DeliverCareRx 
11407, Seed Round - Numeration Systems 
11408, Post-IPO Equity - AdCare Health Systems 
11409, Venture Round - REACH Health 
11410, Venture Round - Kirkland Partners 
11411, Funding Round - Absolute Antibody 
11412, Series A - Padlock Therapeutics 
11413, Angel Round - Naturals @Home 
11414, Grant - Connecticut Children’s Medical Center 
11415, Seed Round - Wellframe 
11416, Series C - Adaptive Biotechnologies 
11417, Venture Round - Serena & Lily 
11418, Convertible Note - eWellness Corporation 
11419, Convertible Note - Advanced Catheter Therapies 
11420, Angel Round - Birdhouse 
11421, Venture Round - Micro Medical Solutions 
11422, Venture Round - Nanodex 
11423, Seed Round - Aquanano 
11424, Series A - meQuilibrium 
11425, Seed Round - Addapp 
11426, Series A - Renascent Medical 
11427, Equity Crowdfunding - Agile Edge Technologies 
11428, Series B - Vapotherm 
11429, Series D - Nuvaira 
11430, Series A - Crescendo Biologics 
11431, Debt Financing - AirXpanders 
11432, Venture Round - Rijuven 
11433, Post-IPO Equity - Torrent Pharmaceuticals 
11434, Angel Round - Dawaai 
11435, Series A - RefleXion Medical 
11436, Angel Round - Lantum 
11437, Venture Round - Genomind 
11438, Seed Round - Dottori.it 
11439, Venture Round - Intuity Medical 
11440, Series C - Transcend Medical 
11441, Non Equity Assistance - Autism Biotech 
11442, Seed Round - Echodia S.A.S 
11443, Debt Financing - Women's Health Initiative 
11444, Series B - BIMA 
11445, Debt Financing - ivWatch 
11446, Series A - SpeechVive 
11447, Non Equity Assistance - IntelliDigest 
11448, Series A - TurningPoint 
11449, Debt Financing - Twelve 
11450, Venture Round - SynerGene Therapeutics 
11451, Venture Round - Precision Biologics 
11452, Non Equity Assistance - Skin Analytics 
11453, Venture Round - hCentive 
11454, Private Equity Round - Bswift 
11455, Venture Round - Flower Orthopedics 
11456, Angel Round - Adding Home 
11457, Series A - ProQR Therapeutics 
11458, Corporate Round - Synthetic Genomics 
11459, Angel Round - Endofotonics Pte Ltd 
11460, Seed Round - Connectiphi 
11461, Series A - Terapede 
11462, Seed Round - Vain Pursuits 
11463, Series B - NeuMoDx Molecular 
11464, Seed Round - Abogen 
11465, Seed Round - PHmHealth 
11466, Convertible Note - SnapMD 
11467, Venture Round - SmartRx 
11468, Venture Round - EvergreenHealth 
11469, Venture Round - Karma Healthcare 
11470, Seed Round - FitBoomBah 
11471, Series A - APT Medical 
11472, Seed Round - Pocket Anatomy 
11473, Venture Round - Punctil 
11474, Venture Round - myBrain Technologies 
11475, Convertible Note - Pidefarma 
11476, Seed Round - Rock My World Media 
11477, Venture Round - Unbooked Appointments 
11478," Seed Round - Hindsait, Inc. "
11479, Equity Crowdfunding - Estrogen Gene Test 
11480, Venture Round - Halt Medical 
11481, Funding Round - WebPT 
11482, Private Equity Round - Alivira Animal Health 
11483, Seed Round - Vheda Health 
11484, Seed Round - Medivizor 
11485, Seed Round - FitnessGenes 
11486, Series D - Intarcia Therapeutics 
11487, Venture Round - Cipher Surgical 
11488, Series B - Neuros Medical 
11489, Angel Round - CarePredict 
11490, Seed Round - Althea Health 
11491, Seed Round - SmellMe 
11492, Seed Round - Wellmo 
11493, Seed Round - Media4Care 
11494, Grant - Xip 
11495, Angel Round - Omnia Salud 
11496, Angel Round - SnapHealth 
11497, Angel Round - LynxFit 
11498, Seed Round - Healthvest Holdings 
11499, Convertible Note - RespireRx Phamaceuticals 
11500, Angel Round - Ion Linac Systems 
11501, Grant - Northwestern University 
11502, Seed Round - Bearhug Technologies 
11503, Angel Round - Junnah 
11504, Post-IPO Equity - Nuvo Research 
11505, Seed Round - iFit 
11506, Venture Round - Sulfagenix 
11507, Venture Round - Cocomama Foods 
11508, Seed Round - machtfit 
11509, Seed Round - ClassPass 
11510, Debt Financing - Apsara Therapeutics 
11511, Seed Round - Obeo Health 
11512, Seed Round - ViiMed 
11513, Post-IPO Equity - AquaBounty Technologies 
11514, Series A - Auris Health 
11515, Series C - Providence Medical Technology 
11516, Seed Round - Curology 
11517, Angel Round - Epigamia 
11518, Series A - PIQUR Therapeutics 
11519, Private Equity Round - Family Help & Wellness 
11520, Seed Round - Sentrian 
11521, Series B - NantHealth 
11522, Series A - Keona Health 
11523, Post-IPO Equity - ApolloMed 
11524, Convertible Note - At Peak Sports 
11525, Series B - MEC 
11526, Seed Round - Play-it Health 
11527, Venture Round - Streamline 
11528, Venture Round - Koronis 
11529, Seed Round - Vetter Software 
11530, Seed Round - EngagedMD 
11531, Seed Round - Green Endeavors 
11532, Venture Round - ControlRad Systems 
11533, Post-IPO Equity - Zivo Bioscience 
11534, Equity Crowdfunding - Nuraleve 
11535, Debt Financing - Chondrial Therapeutics 
11536, Non Equity Assistance - The Fabulous 
11537, Venture Round - SciBase 
11538, Seed Round - Hoolux Medical 
11539, Seed Round - HealthQx 
11540, Seed Round - Abgentis 
11541, Venture Round - OrCam Technologies 
11542, Venture Round - Synpromics Ltd 
11543, Private Equity Round - Edison Pharmaceuticals 
11544, Series A - Reflexion Health 
11545, Debt Financing - Nirva Medical 
11546, Venture Round - Larada Sciences 
11547, Seed Round - StrengthPortal 
11548, Seed Round - SIGHT Medical 
11549, Seed Round - Grand Round Table 
11550, Seed Round - Essential Medical 
11551, Grant - Adaptimmune 
11552, Venture Round - Axikin Pharmaceuticals 
11553, Series A - scPharmaceuticals 
11554, Seed Round - Integene International 
11555, Grant - Emory University 
11556, Venture Round - Wellfount 
11557, Debt Financing - Cerevast Therapeutics 
11558, Seed Round - Memvu 
11559, Pre Seed Round - Calciscon 
11560, Series A - FlexMinder 
11561, Seed Round - One Degree 
11562, Seed Round - Noora Health 
11563, Venture Round - Hussle 
11564, Series G - POCARED Diagnostics Ltd. 
11565, Seed Round - Share Practice 
11566, Venture Round - Pear Sports 
11567, Seed Round - CareMessage 
11568, Seed Round - Immunity Project 
11569, Seed Round - Bellabeat 
11570, Seed Round - KiwiSweat 
11571, Post-IPO Debt - VBI Vaccines 
11572, Venture Round - Endra 
11573, Debt Financing - Vigilant Biosciences 
11574, Series D - Proclara Biosciences 
11575, Series A - Vigilant Biosciences 
11576, Grant - Donets Connecting 
11577, Seed Round - Texas Health Surgery Center Denton 
11578, Angel Round - Nano Precision Medical 
11579, Funding Round - Vitalacy 
11580, Seed Round - PreAction Technology Corp 
11581, Seed Round - InfraScan 
11582, Venture Round - Doktor na rabote 
11583, Seed Round - Speratum 
11584, Series A - Celcuity 
11585, Debt Financing - Sonendo 
11586, Venture Round - Portsmouth Regional Ambulatory Surgery Center 
11587, Seed Round - PHEMI Systems 
11588, Grant - Allegheny General Hospital 
11589, Venture Round - Calcivis 
11590, Seed Round - Texas Health Surgery Center Denton 
11591, Angel Round - Nano Precision Medical 
11592, Funding Round - Vitalacy 
11593, Seed Round - PreAction Technology Corp 
11594, Seed Round - InfraScan 
11595, Venture Round - Doktor na rabote 
11596, Seed Round - Speratum 
11597, Series A - Celcuity 
11598, Debt Financing - Sonendo 
11599, Venture Round - Portsmouth Regional Ambulatory Surgery Center 
11600, Seed Round - PHEMI Systems 
11601, Grant - Allegheny General Hospital 
11602, Venture Round - Calcivis 
11603, Angel Round - Molecular Match 
11604, Seed Round - Medlanes 
11605, Debt Financing - YogaDownload.com 
11606, Seed Round - WelVU 
11607, Series A - KANG 
11608, Funding Round - Proventix Systems 
11609, Debt Financing - Prime Health Services 
11610, Venture Round - invendo medical 
11611, Post-IPO Equity - Omeros 
11612, Seed Round - BaziFIT 
11613, Seed Round - ListenPort 
11614, Debt Financing - Cytogel Pharma 
11615, Seed Round - Avitus Orthopaedics 
11616, Series A - Lumere 
11617, Venture Round - DoctorAtWork.com 
11618, Seed Round - CellPly 
11619, Seed Round - Metabiota 
11620, Pre Seed Round - DOC.ONLINE 
11621, Series A - Element Science 
11622, Private Equity Round - Integrated DNA Technologies 
11623, Venture Round - Envision Diagnostics 
11624, Seed Round - GuardLab 
11625, Seed Round - Hennessey Wellness 
11626, Venture Round - RxSight 
11627, Debt Financing - InnovaCor 
11628, Venture Round - St. Teresa Medical 
11629, Post-IPO Equity - Alexza Pharmaceuticals 
11630, Venture Round - AbleTo 
11631, Seed Round - New Media Education 
11632, Venture Round - BioLight Israeli Life Sciences Investments Ltd 
11633, Post-IPO Equity - Five Prime Therapeutics 
11634, Angel Round - First Stop Health 
11635, Series B - KYEE 
11636, Pre Seed Round - PhysicianPortal 
11637, Seed Round - NovoPulse 
11638, Series B - AbilTo 
11639, Venture Round - MedSave USA 
11640, Seed Round - Texas Health Surgery Center Denton 
11641, Angel Round - Nano Precision Medical 
11642, Funding Round - Vitalacy 
11643, Seed Round - PreAction Technology Corp 
11644, Seed Round - InfraScan 
11645, Venture Round - Doktor na rabote 
11646, Seed Round - Speratum 
11647, Series A - Celcuity 
11648, Debt Financing - Sonendo 
11649, Venture Round - Portsmouth Regional Ambulatory Surgery Center 
11650, Seed Round - PHEMI Systems 
11651, Grant - Allegheny General Hospital 
11652, Venture Round - Calcivis 
11653, Angel Round - Molecular Match 
11654, Seed Round - Medlanes 
11655, Debt Financing - YogaDownload.com 
11656, Seed Round - WelVU 
11657, Series A - KANG 
11658, Funding Round - Proventix Systems 
11659, Debt Financing - Prime Health Services 
11660, Venture Round - invendo medical 
11661, Post-IPO Equity - Omeros 
11662, Seed Round - BaziFIT 
11663, Seed Round - ListenPort 
11664, Debt Financing - Cytogel Pharma 
11665, Seed Round - Avitus Orthopaedics 
11666, Series A - Lumere 
11667, Venture Round - DoctorAtWork.com 
11668, Seed Round - CellPly 
11669, Seed Round - Metabiota 
11670, Pre Seed Round - DOC.ONLINE 
11671, Series A - Element Science 
11672, Private Equity Round - Integrated DNA Technologies 
11673, Venture Round - Envision Diagnostics 
11674, Seed Round - GuardLab 
11675, Series A - TytoCare 
11676, Series B - NinePoint Medical 
11677, Corporate Round - Mentalhealth Technologies 
11678, Venture Round - Zarbee's 
11679, Debt Financing - Intuity Medical 
11680, Seed Round - Remedly 
11681, Venture Round - Theravasc 
11682, Venture Round - St. Renatus 
11683, Venture Round - Colibri Heart Valve 
11684, Seed Round - CEGA Innovations 
11685, Seed Round - Tooth Bank 
11686, Series B - Nvigen 
11687, Series B - CorTechs Labs 
11688, Series A - SyMap Medical 
11689, Post-IPO Debt - Alphatec Spine 
11690, Funding Round - EPINOMICS 
11691, Seed Round - Complion 
11692, Venture Round - Bi02 Medical 
11693, Venture Round - Fitmoo 
11694, Angel Round - Apta Biosciences Ltd 
11695, Series A - Inotrem 
11696, Series A - Gravie 
11697, Venture Round - PipelineRx 
11698, Equity Crowdfunding - Selah Companies 
11699, Debt Financing - CadenceMD 
11700, Venture Round - Oculeve 
11701, Seed Round - eClinics.in 
11702, Seed Round - Quantuvis 
11703, Venture Round - Sharecare 
11704, Seed Round - ALTATHERA Pharmaceuticals 
11705, Venture Round - Tonic Health 
11706, Seed Round - iRx Reminder 
11707, Venture Round - Sera Prognostics 
11708, Venture Round - Achelios Therapeutics 
11709, Venture Round - Welltok 
11710, Product Crowdfunding - Moov 
11711, Seed Round - Reify Health 
11712, Seed Round - Sensely 
11713, Seed Round - Peak Rx #2 
11714, Seed Round - Canfield Medical Supply 
11715, Venture Round - PURE Bioscience 
11716, Seed Round - Inovamed 
11717, Post-IPO Equity - Baxano Surgical 
11718, Venture Round - Aegis Surgical 
11719, Seed Round - Tribe Wearables 
11720, Post-IPO Equity - Viralytics 
11721, Debt Financing - Moberg ICU Solutions 
11722, Venture Round - Stat Doctors 
11723, Post-IPO Debt - Unilife Corporation 
11724, Seed Round - Somnera 
11725, Seed Round - Yosko 
11726, Venture Round - PatientSafe Solutions 
11727, Venture Round - Interrad Medical 
11728, Series A - Health Outcomes Sciences 
11729, Venture Round - Tarveda Therapeutics 
11730, Pre Seed Round - Sygiene 
11731, Seed Round - Medicast 
11732, Seed Round - Prime 
11733, Post-IPO Equity - Advanz Pharma 
11734, Post-IPO Equity - CanFite BioPharma 
11735, Equity Crowdfunding - Rollins Medical Soluitons 
11736, Post-IPO Equity - Cardiome Pharma 
11737, Seed Round - ollo wearables 
11738, Post-IPO Equity - Brainsway 
11739, Venture Round - LionsGate Technologies (LGTmedical) 
11740, Post-IPO Equity - Futura Medical 
11741, Venture Round - Push Health 
11742, Series B - Exosome Diagnostics 
11743, Pre Seed Round - Akibah Health 
11744, Venture Round - Svelte Medical Systems 
11745, Venture Round - SenseLabs (formerly Neurotopia) 
11746, Series B - Alector 
11747, Angel Round - RunLab 
11748, Venture Round - Active Lives Care 
11749, Series A - Desino 
11750, Debt Financing - Novan 
11751, Series A - Codoon 
11752, Venture Round - Dispersol Technologies 
11753, Grant - Centre for Infectious Disease Research 
11754, Grant - Lioness 
11755, Angel Round - iKure Techsoft 
11756, Post-IPO Equity - Pressure BioSciences 
11757, Debt Financing - Rafael Pharmaceuticals 
11758, Series A - Grokker 
11759, Private Equity Round - Vital Therapies 
11760, Debt Financing - LifeGuard Games 
11761, Series A - JMDNA 
11762, Debt Financing - Wellpepper 
11763, Series C - Domain Surgical 
11764, Debt Financing - LogicStream Health 
11765, Venture Round - Seamless Medical Systems 
11766, Debt Financing - Astute Medical 
11767, Post-IPO Debt - Navidea Biopharmaceuticals 
11768, Seed Round - Agricultural Solutions 
11769, Convertible Note - Memorang 
11770, Post-IPO Equity - Transgenomic 
11771, Seed Round - Fitly 
11772, Post-IPO Equity - GTx 
11773, Venture Round - WaveTec Vision 
11774, Venture Round - iCardiac Technologies 
11775, Venture Round - SARomics Biostructures 
11776, Venture Round - Adhesys Medical 
11777, Angel Round - Oranger 
11778, Seed Round - Sky Toxicology 
11779, Venture Round - Oncternal Therapeutics 
11780, Post-IPO Debt - Omeros 
11781, Post-IPO Equity - Lineage Cell Therapeutics 
11782, Post-IPO Equity - Ampio Pharmaceuticals 
11783, Post-IPO Equity - Neptune Wellness Solutions 
11784, Series B - Concert Genetics 
11785, Seed Round - Synergy Biomedical 
11786, Series B - NephroPlus 
11787, Grant - oneROOF 
11788, Venture Round - Haemostatix 
11789, Product Crowdfunding - Flyfit 
11790, Series D - ZS Pharma 
11791, Series A - ET Healthcare 
11792, Venture Round - Pulse Therapeutics 
11793, Venture Round - NuPotential 
11794, Series A - Recombine 
11795, Series A - Human Longevity 
11796, Non Equity Assistance - Jolt Athletics 
11797, Post-IPO Equity - CellSeed 
11798, Post-IPO Equity - Summit Therapeutics 
11799, Venture Round - Promuc 
11800, Funding Round - Longs Drug Stores 
11801, Venture Round - DocuTAP 
11802, Debt Financing - Branch2 
11803, Series E - Invuity 
11804, Private Equity Round - Apothecary Products 
11805, Seed Round - TPM Medical Systems 
11806, Series C - Clinicient 
11807, Post-IPO Equity - Inovio Pharmaceuticals 
11808, Grant - Versantis 
11809, Post-IPO Debt - Pivotal Therapeutics 
11810, Series E - RainDance Technologies 
11811, Seed Round - Fitwell 
11812, Debt Financing - Amiigo 
11813, Seed Round - Nire iHealth 
11814, Private Equity Round - Anytime Fitness 
11815, Venture Round - Gen One Cig 
11816, Angel Round - Nudge 
11817, Series A - RxAdvance 
11818, Grant - CardioLogs 
11819, Debt Financing - Bloxr 
11820, Seed Round - mySugr 
11821, Series C - SynGen 
11822, Angel Round - Purple Clinic 
11823, Grant - Create Vaccine 
11824, Angel Round - GRANDSONG MEDICAL 
11825, Series A - Atea Pharmaceuticals 
11826, Seed Round - Yatao Zhijia 
11827, Angel Round - XinMob 
11828, Equity Crowdfunding - HealClick 
11829, Grant - Retina Risk 
11830, Grant - HeadSense Medical 
11831, Grant - NeuroTronik 
11832, Angel Round - iFit 
11833, Grant - MARINOX 
11834, Grant - Incereb 
11835, Angel Round - 37mhealth 
11836, Grant - FiRe 
11837, Grant - LensGen 
11838, Grant - CRiL 
11839, Grant - Disabled Living Foundation 
11840, Seed Round - I3 Precision 
11841, Convertible Note - Royal Madina 
11842, Convertible Note - CirrusMD 
11843, Grant - UNA skincare 
11844, Angel Round - Orbose 
11845, Seed Round - MedArkive 
11846, Grant - Shape Memory Medical 
11847, Grant - Bara 
11848, Seed Round - Eco Armour 
11849, Seed Round - dotHIV 
11850, Equity Crowdfunding - Runteq 
11851, Series A - Laviana Pharma 
11852, Grant - PCA Audit 
11853, Seed Round - Geneix 
11854, Grant - NewAllergy Technologies 
11855, Grant - BioCule 
11856, Grant - AventaMed 
11857, Seed Round - UNYQ 
11858, Grant - Coramaze Technologies 
11859, Seed Round - MyRounding 
11860, Seed Round - Wellbeing Network 
11861, Grant - 3Z Pharmaceuticals 
11862, Seed Round - Ancillary Medical Solutions 
11863, Seed Round - Now Technologies 
11864, Seed Round - Medigo 
11865, Grant - Therakind 
11866, Grant - HAp+ 
11867, Grant - Cupris Health 
11868, Angel Round - MIRA Rehab 
11869, Grant - Læknarómur 
11870, Seed Round - Runnit 
11871, Series A - Medical Talents Port 
11872, Grant - Taragenyx 
11873, Non Equity Assistance - KeyIn 
11874, Grant - Kerecis 
11875, Debt Financing - 1Drop Diagnostics 
11876, Seed Round - EndorphMe 
11877, Venture Round - Beacon Healthcare Systems 
11878, Grant - KeyNatura 
11879, Seed Round - Smartmissimo Technologies 
11880, Grant - FocusONCare 
11881, Grant - AzureIndigo 
11882, Venture Round - Cerebrotech Medical Systems 
11883, Seed Round - Genomics 
11884, Grant - SagaMedica 
11885, Grant - Miracor Medical 
11886, Grant - MitraPlug 
11887, Grant - Eski Tech 
11888, Equity Crowdfunding - Pulmorphix 
11889, Venture Round - FeetMe 
